id,Author_graph_id,LiteratureReference_graph_id
,author_cano_a,ref_23201163
,author_vega_s,ref_23201163
,author_ocana_oh,ref_23201163
,author_nieto_ma,ref_23201163
,author_moreno_bueno_g,ref_23201163
,author_corcoles_r,ref_23201163
,author_barrallo_gimeno_a,ref_23201163
,author_fabra_a,ref_23201163
,author_uchi_r,ref_23807160
,author_mori_m,ref_23807160
,author_takahashi_y,ref_23807160
,author_kurashige_j,ref_23807160
,author_eguchi_h,ref_23807160
,author_takano_y,ref_23807160
,author_matsumura_t,ref_23807160
,author_sawada_g,ref_23807160
,author_doki_y,ref_23807160
,author_ueo_h,ref_23807160
,author_sugimachi_k,ref_23807160
,author_akiyoshi_s,ref_23807160
,author_mimori_k,ref_23807160
,author_sudo_t,ref_23807160
,author_mimori_k,ref_25404478
,author_nanbara_s,ref_25404478
,author_komatsu_h,ref_25404478
,author_ueda_m,ref_25404478
,author_sakimura_s,ref_25404478
,author_takano_y,ref_25404478
,author_uchi_r,ref_25404478
,author_honda_h,ref_25404478
,author_hirakawa_m,ref_25404478
,author_takahashi_y,ref_25404478
,author_atsumi_k,ref_25404478
,author_saito_t,ref_25404478
,author_kurashige_j,ref_25404478
,author_shinden_y,ref_25404478
,author_hirata_h,ref_25404478
,author_sakamoto_k,ref_25404478
,author_doi_t,ref_25404478
,author_sugimachi_k,ref_25404478
,author_eguchi_h,ref_25404478
,author_iguchi_t,ref_25404478
,author_zhao_b,ref_26658330
,author_lou_j,ref_26658330
,author_huang_j,ref_26658330
,author_liu_t,ref_26658330
,author_feng_xh,ref_26658330
,author_chen_j,ref_26658330
,author_mu_y,ref_26658330
,author_srivastava_m,ref_26658330
,author_regairaz_m,ref_22927417
,author_ballestrero_a,ref_22927417
,author_zoppoli_g,ref_22927417
,author_pommier_y,ref_22927417
,author_doroshow_jh,ref_22927417
,author_varma_s,ref_22927417
